Word,Count
Se7en,1
87113775,1
179634596.064959,1
97,1
305709447,1
69165022,1
620410247,1
Executive Decision,1
56679192,1
115025400.273222,1
646036777,1
140748740,1
1262516198,1
Titanic,2
157467971,1
307731496.304109,1
99,2
786162209,1
167625193,1
1503597981,1
443319081,1
847883130.859544,1
100,1
574879882,1
113165323,1
1015092947,1
The Sixth Sense,1
276386495,1
488028874.387625,1
101,1
572344556,1
106186358,1
952491631,1
What Lies Beneath,1
155464351,1
258722637.778259,1
674556330,1
119179554,1
1069040599,1
Ocean's Eleven,1
151967372,1
240838730.831176,1
103,1
950052308,1
163520173,1
1466775952,1
Signs,1
227750028,1
351620917.421872,1
104,1
382640658,1
63456152,1
569201683,1
The Recruit,1
52784696,1
78520505.2617366,1
105,1
801681437,1
129095226,1
1157984177,1
The Bourne Supremacy,1
176087450,1
254348512.335928,1
106,1
368731981,1
57524478,1
515994568,1
Flightplan,1
89132263,1
124729521.471986,1
107,1
739589574,1
112914419,1
1012842338,1
The Da Vinci Code,1
217536138,1
297908216.066078,1
108,1
826453022,1
120084032,1
1077153767,1
The Bourne Ultimatum,1
227471070,1
296473378.899473,1
109,2
780239375,1
97076819,1
870779066,1
Eagle Eye,1
101401695,1
113168440.471127,1
110,1
965638077,1
122809305,1
1101599466,1
Taken,1
145000989,1
165417060.342238,1
111,2
919200109,1
104436566,1
936795997,1
Inception,1
292568851,1
298169382.031361,1
112,1
928786329,1
110302117,1
989409989,1
Super 8,1
127004179,1
135293984.659139,1
113,1
1534307056,1
192752112,1
1728986445,1
The Hunger Games,1
408010692,1
459780819.702539,1
114,1
1143419822,1
140642010,1
1261558830,1
Gravity,1
255621667,1
282032692.575772,1
115,1
969244659,1
118634566,1
1064152057,1
The Hunger Games: Mockingjay - Part 1,1
323734502,1
355434237.399466,1
116,2
1089501477,1
125482735,1
1125580133,1
The Hunger Games: Mockingjay - Part 2,1
274185395,1
283264997.694682,1
652302676,1
74687059,1
669942919,1
The Accountant,1
85856696,1
88178521.4904371,1
118,1
697561514,1
77766030,1
697561289,1
Baby Driver,1
107825862,1
107825827.220531,1
119,1
613231037,1
68364643,1
613230848,1
Maze Runner: The Death Cure,1
58032443,1
58032425.1141934,1
Horror,24
148103633,1
34046807,1
305399859,1
Tales from the Crypt: Demon Knight,1
21089146,1
43487266.8844688,1
112915551,1
25546499,1
229152096,1
Scream,1
39129829,1
79410517.4359162,1
122,1
407801247,1
88845581,1
796944862,1
Scream 2,1
85520969,1
167129201.637314,1
123,1
318584830,1
67928527,1
609318887,1
Halloween: H2O,1
55041738,1
105271712.20521,1
124,1
477204556,1
93937896,1
842622927,1
The Blair Witch Project,1
140539099,1
248156614.324786,1
370091662,1
68662640,1
615903881,1
Scream 3,1
89138076,1
148342944.708851,1
126,2
391330452,1
69139648,1
620182643,1
Hannibal,1
165092266,1
261639127.094405,1
127,1
297788051,1
51254391,1
459751887,1
The Ring,1
127230430,1
196429742.831828,1
128,1
450032336,1
74632219,1
669451004,1
Freddy vs. Jason,1
82622655,1
122906322.320127,1
464969445,1
74874297,1
671622444,1
The Grudge,1
110359362,1
159407946.525864,1
130,1
587908674,1
91717406,1
822705132,1
Saw II,1
87014325,1
121765734.885238,1
553283464,1
84470742,1
757702556,1
Saw III,1
80238724,1
109884155.628729,1
132,1
693525961,1
93822372,1
841586677,1
I am Legend,1
206129574,1
250136134.722267,1
293647307,1
33899031,1
304074308,1
Saw V,1
56746769,1
58761766.5940688,1
584680109,1
70287470,1
630478606,1
Paranormal Activity,1
107854596,1
116302939.487844,1
135,2
531211616,1
62321234,1
559021469,1
Paranormal Activity 2,1
84660648,1
89092780.3270249,1
136,1
404326975,1
47796580,1
428735323,1
Paranormal Activity 3,1
104007828,1
110286556.399331,1
137,1
308863451,1
38801926,1
348053276,1
Paranormal Activity 4,1
53900335,1
60739424.213218,1
138,1
448523012,1
55168866,1
494864728,1
The Conjuring,1
137400141,1
151596421.106542,1
139,1
254888301,1
31198061,1
279846607,1
Annabelle,1
84273813,1
92525786.9210815,1
140,1
374324652,1
43043467,1
386099899,1
Goosebumps,1
79132868,1
81622175.2404924,1
141,1
479942549,1
54784636,1
491418185,1
The Conjuring 2: The Enfield Poltergeist,1
102470008,1
104920110.653276,1
142,2
1039425572,1
115877974,1
1039425427,1
It,1
327481748,1
327481702.316254,1
143,2
901529308,1
100504925,1
901529177,1
A Quiet Place,1
188024361,1
188024333.678435,1
144,1
Romantic Comedy,24
297177737,1
68316713,1
612800916,1
While You Were Sleeping,1
81057016,1
167145137.29885,1
145,1
427301022,1
96674429,1
867169628,1
Jerry Maguire,2
83338125,1
169127353.162445,1
146,1
297133612,1
64734983,1
580672798,1
70614467,1
137998188.276891,1
147,1
500783066,1
106776765,1
957787582,1
There's Something About Mary,1
174711965,1
334150577.096029,1
148,2
722597811,1
142243650,1
1275925541,1
Runaway Bride,1
152162347,1
268680339.132393,1
149,2
374478694,1
69476556,1
623204707,1
What Women Want,1
